,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileagev,enginev,max_powerv,torquev,Brand,model_name
5137,Maruti Swift Dzire VDI,2018,700000,45000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5295,Maruti Swift Dzire VDI,2018,725000,15000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5560,Maruti Swift VDI,2018,671000,62000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
5852,Maruti Swift Dzire AMT ZDI Plus,2018,851000,50000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT ZDI Plus
6514,Maruti Swift Dzire ZDI Plus,2018,800000,30000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI Plus
6634,Maruti Swift Dzire ZDI,2018,780000,30000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
6748,Maruti Swift AMT ZDI,2018,670000,90000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift AMT ZDI
6851,Maruti Swift Dzire VDI,2018,720000,25000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
7298,Maruti Swift VDI,2018,685000,26000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7299,Maruti Swift LDI,2018,509999,100000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift LDI
7369,Maruti Swift AMT VDI,2018,790000,16000,Diesel,Dealer,Automatic,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift AMT VDI
7391,Maruti Swift Dzire LDI,2018,550000,120000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire LDI
7578,Maruti Swift Dzire AMT ZDI Plus,2018,730000,60000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT ZDI Plus
7602,Maruti Swift Dzire VDI,2018,765000,59000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
400,Maruti Swift Dzire AMT VDI,2017,750000,19000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT VDI
434,Maruti Swift Dzire ZDI Plus,2017,900000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI Plus
698,Maruti Swift Dzire VDI,2017,680000,40000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
848,Maruti Swift Dzire VDI,2017,620000,107000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
854,Maruti Swift Dzire VDI,2017,625000,43000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1204,Maruti Swift Dzire VDI,2017,711000,35000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1518,Maruti Swift DDiS LDI,2017,500000,35000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift DDiS LDI
1539,Maruti Swift Dzire VDI,2017,650000,20000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1679,Maruti Swift DDiS VDI,2017,610000,49000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift DDiS VDI
1749,Maruti Swift Dzire VDI,2017,605000,127000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1934,Maruti Swift Dzire VDI,2017,700000,50000,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
2575,Maruti Swift Dzire VDI,2017,651000,32500,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
2869,Maruti Swift Dzire ZDI,2017,700000,70000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
3068,Maruti Swift Dzire LDI,2017,455000,60000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire LDI
3581,Maruti Swift Dzire ZDI,2017,754000,40000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
3816,Maruti Swift Dzire VDI,2017,699000,60000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
4754,Maruti Swift Dzire AMT ZDI Plus,2017,875000,30000,Diesel,Dealer,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT ZDI Plus
5109,Maruti Swift Dzire VDI,2017,625000,34000,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5241,Maruti Swift Dzire ZDI Plus,2017,725000,60000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI Plus
5285,Maruti Swift Dzire ZDI Plus,2017,655000,70000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI Plus
5468,Maruti Swift Dzire VDI,2017,745000,35000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5479,Maruti Swift Dzire VDI,2017,669000,60000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5569,Maruti Swift Dzire VDI,2017,740000,40000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5940,Maruti Swift Dzire VDI,2017,755000,20000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
7230,Maruti Swift Dzire ZDI,2017,750000,110000,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
7390,Maruti Swift Dzire AMT ZDI,2017,700000,80000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT ZDI
7673,Maruti Swift Dzire VDI,2017,750000,30000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
3381,Maruti Swift VDI,2015,480000,87847,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
5508,Maruti Swift VDI,2015,550000,45000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7364,Maruti Swift LDI,2015,495000,59292,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift LDI
3761,Maruti Swift VDI,2014,490000,67000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
3762,Maruti Swift VDI,2014,500000,77000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7282,Maruti Swift VDI,2014,450000,53190,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7285,Maruti Swift Dzire VDI,2014,434999,70195,Diesel,Dealer,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
7823,Maruti Swift VDI,2014,455000,40000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
1445,Maruti Swift ZDI Plus,2013,450000,43978,Diesel,Dealer,Manual,Second Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift ZDI Plus
3768,Maruti Swift VDI,2013,445000,70000,Diesel,Dealer,Manual,Second Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
3771,Maruti Swift VDI,2013,450000,67000,Diesel,Dealer,Manual,Second Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7290,Maruti Swift Dzire ZDI,2013,409999,80235,Diesel,Dealer,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
7795,Maruti Swift VDI,2013,375000,65000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7964,Maruti Ciaz Alpha Diesel,2019,1025000,32000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.50,200Nm,Maruti,Ciaz Alpha Diesel
1233,Maruti Ciaz Alpha Diesel,2018,1000000,50000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.50,200Nm,Maruti,Ciaz Alpha Diesel
1574,Maruti Ciaz 1.3 Alpha,2018,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
1881,Maruti Ciaz S 1.3,2018,1000000,40000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz S 1.3
4684,Maruti Ciaz Alpha Diesel,2018,975000,36000,Diesel,Dealer,Manual,First Owner,5.0,28.09,1248,88.50,200Nm,Maruti,Ciaz Alpha Diesel
5268,Maruti Ciaz 1.3 Sigma,2018,750000,25000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Sigma
5352,Maruti Ciaz 1.3 Zeta,2018,889000,20000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Zeta
5982,Maruti Ciaz Zeta Diesel,2018,950000,7500,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.50,200Nm,Maruti,Ciaz Zeta Diesel
6602,Maruti Ciaz 1.3 Alpha,2018,825000,82000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
197,Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
1068,Maruti Ciaz RS ZDi Plus SHVS,2017,844999,70000,Diesel,Dealer,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz RS ZDi Plus SHVS
2800,Maruti Ciaz 1.3 Alpha,2017,650000,78000,Diesel,Individual,Manual,Third Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
3192,Maruti Ciaz ZDi Plus SHVS,2017,650000,60000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
3244,Maruti Ciaz 1.3 Alpha,2017,800000,28050,Diesel,Dealer,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
3876,Maruti Ciaz ZDi Plus SHVS,2017,750000,53000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
4689,Maruti Ciaz 1.3 Alpha,2017,720000,60000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz 1.3 Alpha
4797,Maruti Ciaz S 1.3,2017,810000,47747,Diesel,Dealer,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz S 1.3
5685,Maruti Ciaz ZDi Plus SHVS,2017,900000,65000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
6252,Maruti Ciaz ZDi Plus SHVS,2017,860000,80000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
6767,Maruti Ciaz VDI SHVS,2017,750000,60000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDI SHVS
2215,Maruti Ciaz VDi Plus SHVS,2016,640000,40000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDi Plus SHVS
2825,Maruti Ciaz ZDi Plus SHVS,2016,650000,81000,Diesel,Dealer,Manual,Second Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
4280,Maruti Ciaz RS ZDi Plus SHVS,2016,750000,80000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz RS ZDi Plus SHVS
4546,Maruti Ciaz VDI SHVS,2016,620000,90000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDI SHVS
4997,Maruti Ciaz VDi Option SHVS,2016,700000,70000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDi Option SHVS
6769,Maruti Ciaz ZDi Plus SHVS,2016,715000,70000,Diesel,Individual,Manual,Second Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
7070,Maruti Ciaz ZDi Plus SHVS,2016,795000,90000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
1260,Maruti Ciaz VDi Plus SHVS,2015,650000,84000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDi Plus SHVS
3129,Maruti Ciaz ZDi Plus SHVS,2015,550000,40000,Diesel,Individual,Manual,Third Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
5915,Maruti Ciaz ZDi Plus SHVS,2015,630000,70000,Diesel,Individual,Manual,Second Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz ZDi Plus SHVS
7794,Maruti Ciaz VDi Plus SHVS,2015,550000,50000,Diesel,Dealer,Manual,Second Owner,5.0,28.09,1248,88.5,200Nm,Maruti,Ciaz VDi Plus SHVS
492,Maruti Celerio LDi,2016,285000,70000,Diesel,Individual,Manual,First Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio LDi
7372,Maruti Celerio VDi,2016,375000,61173,Diesel,Dealer,Manual,First Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio VDi
1333,Maruti Celerio VDi,2015,250000,100000,Diesel,Individual,Manual,Second Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio VDi
2035,Maruti Celerio ZDi,2015,400000,25000,Diesel,Individual,Manual,First Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio ZDi
5016,Maruti Celerio ZDi,2015,340000,40000,Diesel,Individual,Manual,Second Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio ZDi
8013,Maruti Celerio LDi,2015,400000,95000,Diesel,Individual,Manual,First Owner,5.0,27.62,793,47,125Nm,Maruti,Celerio LDi
809,Honda Amaze VX Diesel BSIV,2019,800000,10000,Diesel,Individual,Manual,First Owner,5.0,27.4,1498,98.63,200Nm,Honda,Amaze VX Diesel BSIV
2751,Honda Amaze VX Diesel BSIV,2018,670000,93000,Diesel,Individual,Manual,First Owner,5.0,27.4,1498,98.63,200Nm,Honda,Amaze VX Diesel BSIV
6500,Honda Amaze S Diesel BSIV,2018,700000,43000,Diesel,Individual,Manual,First Owner,5.0,27.4,1498,98.63,200Nm,Honda,Amaze S Diesel BSIV
1451,Honda Amaze E Diesel BSIV,2014,465000,27233,Diesel,Dealer,Manual,First Owner,5.0,27.4,1498,98.63,200Nm,Honda,Amaze E Diesel BSIV
377,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
2756,Maruti Baleno Delta 1.3,2018,600000,60000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
7937,Maruti Baleno Zeta 1.3,2018,760000,50000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Zeta 1.3
8015,Maruti Baleno Alpha Diesel,2018,750000,35000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha Diesel
464,Maruti Baleno Alpha 1.3,2017,735000,70000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
2157,Maruti Baleno Zeta 1.3,2017,620000,30000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Zeta 1.3
2891,Maruti Baleno Alpha 1.3,2017,800000,70000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
3769,Maruti Baleno Zeta Diesel,2017,752000,28000,Diesel,Dealer,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Zeta Diesel
4902,Maruti Baleno Delta 1.3,2017,600000,20000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
5028,Maruti Baleno Delta 1.3,2017,600000,56000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
5379,Maruti Baleno Sigma 1.3,2017,625000,70000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Sigma 1.3
5903,Maruti Baleno Alpha 1.3,2017,680000,71000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
6243,Maruti Baleno Alpha 1.3,2017,800000,35000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
6790,Maruti Baleno Alpha 1.3,2017,650000,35000,Diesel,Individual,Manual,Second Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
7329,Maruti Baleno Alpha 1.3,2017,740000,24400,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
7613,Maruti Baleno Delta 1.3,2017,670000,36000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
1887,Maruti Baleno Delta 1.3,2016,700000,78000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
3774,Maruti Baleno Zeta 1.3,2016,700000,80000,Diesel,Dealer,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Zeta 1.3
3787,Maruti Baleno Sigma 1.3,2016,530000,58000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Sigma 1.3
5446,Maruti Baleno Alpha 1.3,2016,710000,71000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Alpha 1.3
5524,Maruti Baleno Delta Diesel,2016,635000,52000,Diesel,Dealer,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta Diesel
2107,Maruti Baleno Delta 1.3,2015,590000,110000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Delta 1.3
4213,Maruti Baleno Sigma 1.3,2015,562000,60000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Sigma 1.3
5078,Maruti Baleno Zeta 1.3,2015,600000,70000,Diesel,Individual,Manual,Second Owner,5.0,27.39,1248,74,190Nm,Maruti,Baleno Zeta 1.3
7284,Honda Jazz 1.5 S i DTEC,2018,650000,47725,Diesel,Dealer,Manual,First Owner,5.0,27.3,1498,98.6,200Nm,Honda,Jazz 1.5 S i DTEC
4593,Honda Jazz 1.5 S i DTEC,2017,670000,50000,Diesel,Individual,Manual,First Owner,5.0,27.3,1498,98.6,200Nm,Honda,Jazz 1.5 S i DTEC
8046,Honda Jazz V Diesel,2017,525000,37151,Diesel,Dealer,Manual,First Owner,5.0,27.3,1498,98.6,200Nm,Honda,Jazz V Diesel
1439,Honda Jazz 1.5 V i DTEC,2016,500000,30000,Diesel,Individual,Manual,First Owner,5.0,27.3,1498,98.6,200Nm,Honda,Jazz 1.5 V i DTEC
